owning_agency_name,reporting_agency_name,submission_period,allocation_transfer_agency_identifier_code,agency_identifier_code,beginning_period_of_availability,ending_period_of_availability,availability_type_code,main_account_code,sub_account_code,treasury_account_symbol,treasury_account_name,agency_identifier_name,allocation_transfer_agency_identifier_name,budget_function,budget_subfunction,federal_account_symbol,federal_account_name,program_activity_code,program_activity_name,object_class_code,object_class_name,direct_or_reimbursable_funding_source,disaster_emergency_fund_code,disaster_emergency_fund_name,transaction_obligated_amount,gross_outlay_amount_FYB_to_period_end,USSGL487200_downward_adj_prior_year_prepaid_undeliv_order_oblig,USSGL497200_downward_adj_of_prior_year_paid_deliv_orders_oblig,award_unique_key,award_id_piid,parent_award_id_piid,award_id_fain,award_id_uri,award_base_action_date,award_base_action_date_fiscal_year,award_latest_action_date,award_latest_action_date_fiscal_year,period_of_performance_start_date,period_of_performance_current_end_date,ordering_period_end_date,award_type_code,award_type,idv_type_code,idv_type,prime_award_base_transaction_description,awarding_agency_code,awarding_agency_name,awarding_subagency_code,awarding_subagency_name,awarding_office_code,awarding_office_name,funding_agency_code,funding_agency_name,funding_sub_agency_code,funding_sub_agency_name,funding_office_code,funding_office_name,recipient_uei,recipient_duns,recipient_name,recipient_name_raw,recipient_parent_uei,recipient_parent_duns,recipient_parent_name,recipient_parent_name_raw,recipient_country,recipient_state,recipient_county,recipient_city,prime_award_summary_recipient_cd_original,prime_award_summary_recipient_cd_current,recipient_zip_code,primary_place_of_performance_country,primary_place_of_performance_state,primary_place_of_performance_county,prime_award_summary_place_of_performance_cd_original,prime_award_summary_place_of_performance_cd_current,primary_place_of_performance_zip_code,cfda_number,cfda_title,product_or_service_code,product_or_service_code_description,naics_code,naics_description,national_interest_action_code,national_interest_action,usaspending_permalink,last_modified_date
National Aeronautics and Space Administration,National Aeronautics and Space Administration,FY2023P02,,080,2022,2023,,0120,000,080-2022/2023-0120-000,"Science, National Aeronautics and Space Administration",National Aeronautics and Space Administration,,"General Science, Space, and Technology","Space flight, research, and supporting activities",080-0120,"Science, National Aeronautics and Space Administration",0001,SCIENCE (DIRECT),25.5,Research and development contracts,D,Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,495249.00,,,,CONT_AWD_80GSFC23CA014_8000_-NONE-_-NONE-,80GSFC23CA014,,,,2022-10-04,2023,2023-09-28,2023,2022-10-04,2024-04-01,,D,DEFINITIVE CONTRACT,,,"ROMAN SPACE TELESCOPE PROJECT IPA VIS EFFORT CONTRACTOR SHALL PROVIDE THE FACILITIES, PERSONNEL, SERVICES, TOOLS, EQUIPMENT, AND MATERIALS NECESSARY TO DESIGN, ANALYZE, MANUFACTURE, TEST, AND DELIVER THE HARDWARE AND DATA IN THE SOW REQUIREMENTS",080,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,80GSFC,NASA GODDARD SPACE FLIGHT CENTER,080,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,80GSFC,NASA GODDARD SPACE FLIGHT CENTER,YHFYUZLGV5G3,,MOOG INC,MOOG INC.,L4ZMKLM4MPL3,L4ZMKLM4MPL3,MOOG INC,MOOG  INC.,USA,CA,SANTA CLARA,MOUNTAIN VIEW,CA-18,CA-16,940431613,UNITED STATES,CALIFORNIA,SANTA CLARA,CA-16,CA-16,940431613,,,1675,SPACE VEHICLE COMPONENTS,336419,OTHER GUIDED MISSILE AND SPACE VEHICLE PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,NONE,NONE,https://www.usaspending.gov/award/CONT_AWD_80GSFC23CA014_8000_-NONE-_-NONE-/,2023-01-06
National Aeronautics and Space Administration,National Aeronautics and Space Administration,FY2023P05,,080,2023,2024,,0120,000,080-2023/2024-0120-000,"Science, National Aeronautics and Space Administration",National Aeronautics and Space Administration,,"General Science, Space, and Technology","Space flight, research, and supporting activities",080-0120,"Science, National Aeronautics and Space Administration",0001,SCIENCE (DIRECT),25.5,Research and development contracts,D,Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,127323.00,,,,CONT_AWD_80GSFC23CA014_8000_-NONE-_-NONE-,80GSFC23CA014,,,,2022-10-04,2023,2023-09-28,2023,2022-10-04,2024-04-01,,D,DEFINITIVE CONTRACT,,,"ROMAN SPACE TELESCOPE PROJECT IPA VIS EFFORT CONTRACTOR SHALL PROVIDE THE FACILITIES, PERSONNEL, SERVICES, TOOLS, EQUIPMENT, AND MATERIALS NECESSARY TO DESIGN, ANALYZE, MANUFACTURE, TEST, AND DELIVER THE HARDWARE AND DATA IN THE SOW REQUIREMENTS",080,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,80GSFC,NASA GODDARD SPACE FLIGHT CENTER,080,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,80GSFC,NASA GODDARD SPACE FLIGHT CENTER,YHFYUZLGV5G3,,MOOG INC,MOOG INC.,L4ZMKLM4MPL3,L4ZMKLM4MPL3,MOOG INC,MOOG  INC.,USA,CA,SANTA CLARA,MOUNTAIN VIEW,CA-18,CA-16,940431613,UNITED STATES,CALIFORNIA,SANTA CLARA,CA-16,CA-16,940431613,,,1675,SPACE VEHICLE COMPONENTS,336419,OTHER GUIDED MISSILE AND SPACE VEHICLE PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,NONE,NONE,https://www.usaspending.gov/award/CONT_AWD_80GSFC23CA014_8000_-NONE-_-NONE-/,2023-03-27
National Aeronautics and Space Administration,National Aeronautics and Space Administration,FY2023P07,,080,2022,2023,,0120,000,080-2022/2023-0120-000,"Science, National Aeronautics and Space Administration",National Aeronautics and Space Administration,,"General Science, Space, and Technology","Space flight, research, and supporting activities",080-0120,"Science, National Aeronautics and Space Administration",0001,SCIENCE (DIRECT),25.5,Research and development contracts,D,Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,,110413.00,,,CONT_AWD_80GSFC23CA014_8000_-NONE-_-NONE-,80GSFC23CA014,,,,2022-10-04,2023,2023-09-28,2023,2022-10-04,2024-04-01,,D,DEFINITIVE CONTRACT,,,"ROMAN SPACE TELESCOPE PROJECT IPA VIS EFFORT CONTRACTOR SHALL PROVIDE THE FACILITIES, PERSONNEL, SERVICES, TOOLS, EQUIPMENT, AND MATERIALS NECESSARY TO DESIGN, ANALYZE, MANUFACTURE, TEST, AND DELIVER THE HARDWARE AND DATA IN THE SOW REQUIREMENTS",080,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,80GSFC,NASA GODDARD SPACE FLIGHT CENTER,080,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,80GSFC,NASA GODDARD SPACE FLIGHT CENTER,YHFYUZLGV5G3,,MOOG INC,MOOG INC.,L4ZMKLM4MPL3,L4ZMKLM4MPL3,MOOG INC,MOOG  INC.,USA,CA,SANTA CLARA,MOUNTAIN VIEW,CA-18,CA-16,940431613,UNITED STATES,CALIFORNIA,SANTA CLARA,CA-16,CA-16,940431613,,,1675,SPACE VEHICLE COMPONENTS,336419,OTHER GUIDED MISSILE AND SPACE VEHICLE PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,NONE,NONE,https://www.usaspending.gov/award/CONT_AWD_80GSFC23CA014_8000_-NONE-_-NONE-/,2023-05-28
National Aeronautics and Space Administration,National Aeronautics and Space Administration,FY2023P08,,080,2022,2023,,0120,000,080-2022/2023-0120-000,"Science, National Aeronautics and Space Administration",National Aeronautics and Space Administration,,"General Science, Space, and Technology","Space flight, research, and supporting activities",080-0120,"Science, National Aeronautics and Space Administration",0001,SCIENCE (DIRECT),25.5,Research and development contracts,D,Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,,110413.00,,,CONT_AWD_80GSFC23CA014_8000_-NONE-_-NONE-,80GSFC23CA014,,,,2022-10-04,2023,2023-09-28,2023,2022-10-04,2024-04-01,,D,DEFINITIVE CONTRACT,,,"ROMAN SPACE TELESCOPE PROJECT IPA VIS EFFORT CONTRACTOR SHALL PROVIDE THE FACILITIES, PERSONNEL, SERVICES, TOOLS, EQUIPMENT, AND MATERIALS NECESSARY TO DESIGN, ANALYZE, MANUFACTURE, TEST, AND DELIVER THE HARDWARE AND DATA IN THE SOW REQUIREMENTS",080,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,80GSFC,NASA GODDARD SPACE FLIGHT CENTER,080,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,80GSFC,NASA GODDARD SPACE FLIGHT CENTER,YHFYUZLGV5G3,,MOOG INC,MOOG INC.,L4ZMKLM4MPL3,L4ZMKLM4MPL3,MOOG INC,MOOG  INC.,USA,CA,SANTA CLARA,MOUNTAIN VIEW,CA-18,CA-16,940431613,UNITED STATES,CALIFORNIA,SANTA CLARA,CA-16,CA-16,940431613,,,1675,SPACE VEHICLE COMPONENTS,336419,OTHER GUIDED MISSILE AND SPACE VEHICLE PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,NONE,NONE,https://www.usaspending.gov/award/CONT_AWD_80GSFC23CA014_8000_-NONE-_-NONE-/,2023-06-28
National Aeronautics and Space Administration,National Aeronautics and Space Administration,FY2023P09,,080,2023,2024,,0120,000,080-2023/2024-0120-000,"Science, National Aeronautics and Space Administration",National Aeronautics and Space Administration,,"General Science, Space, and Technology","Space flight, research, and supporting activities",080-0120,"Science, National Aeronautics and Space Administration",0001,SCIENCE (DIRECT),25.5,Research and development contracts,D,Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,,127323.00,,,CONT_AWD_80GSFC23CA014_8000_-NONE-_-NONE-,80GSFC23CA014,,,,2022-10-04,2023,2023-09-28,2023,2022-10-04,2024-04-01,,D,DEFINITIVE CONTRACT,,,"ROMAN SPACE TELESCOPE PROJECT IPA VIS EFFORT CONTRACTOR SHALL PROVIDE THE FACILITIES, PERSONNEL, SERVICES, TOOLS, EQUIPMENT, AND MATERIALS NECESSARY TO DESIGN, ANALYZE, MANUFACTURE, TEST, AND DELIVER THE HARDWARE AND DATA IN THE SOW REQUIREMENTS",080,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,80GSFC,NASA GODDARD SPACE FLIGHT CENTER,080,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,80GSFC,NASA GODDARD SPACE FLIGHT CENTER,YHFYUZLGV5G3,,MOOG INC,MOOG INC.,L4ZMKLM4MPL3,L4ZMKLM4MPL3,MOOG INC,MOOG  INC.,USA,CA,SANTA CLARA,MOUNTAIN VIEW,CA-18,CA-16,940431613,UNITED STATES,CALIFORNIA,SANTA CLARA,CA-16,CA-16,940431613,,,1675,SPACE VEHICLE COMPONENTS,336419,OTHER GUIDED MISSILE AND SPACE VEHICLE PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,NONE,NONE,https://www.usaspending.gov/award/CONT_AWD_80GSFC23CA014_8000_-NONE-_-NONE-/,2023-07-28
National Aeronautics and Space Administration,National Aeronautics and Space Administration,FY2023P09,,080,2022,2023,,0120,000,080-2022/2023-0120-000,"Science, National Aeronautics and Space Administration",National Aeronautics and Space Administration,,"General Science, Space, and Technology","Space flight, research, and supporting activities",080-0120,"Science, National Aeronautics and Space Administration",0001,SCIENCE (DIRECT),25.5,Research and development contracts,D,Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,,110413.00,,,CONT_AWD_80GSFC23CA014_8000_-NONE-_-NONE-,80GSFC23CA014,,,,2022-10-04,2023,2023-09-28,2023,2022-10-04,2024-04-01,,D,DEFINITIVE CONTRACT,,,"ROMAN SPACE TELESCOPE PROJECT IPA VIS EFFORT CONTRACTOR SHALL PROVIDE THE FACILITIES, PERSONNEL, SERVICES, TOOLS, EQUIPMENT, AND MATERIALS NECESSARY TO DESIGN, ANALYZE, MANUFACTURE, TEST, AND DELIVER THE HARDWARE AND DATA IN THE SOW REQUIREMENTS",080,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,80GSFC,NASA GODDARD SPACE FLIGHT CENTER,080,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,80GSFC,NASA GODDARD SPACE FLIGHT CENTER,YHFYUZLGV5G3,,MOOG INC,MOOG INC.,L4ZMKLM4MPL3,L4ZMKLM4MPL3,MOOG INC,MOOG  INC.,USA,CA,SANTA CLARA,MOUNTAIN VIEW,CA-18,CA-16,940431613,UNITED STATES,CALIFORNIA,SANTA CLARA,CA-16,CA-16,940431613,,,1675,SPACE VEHICLE COMPONENTS,336419,OTHER GUIDED MISSILE AND SPACE VEHICLE PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,NONE,NONE,https://www.usaspending.gov/award/CONT_AWD_80GSFC23CA014_8000_-NONE-_-NONE-/,2023-07-28
National Aeronautics and Space Administration,National Aeronautics and Space Administration,FY2023P10,,080,2023,2024,,0120,000,080-2023/2024-0120-000,"Science, National Aeronautics and Space Administration",National Aeronautics and Space Administration,,"General Science, Space, and Technology","Space flight, research, and supporting activities",080-0120,"Science, National Aeronautics and Space Administration",0001,SCIENCE (DIRECT),25.5,Research and development contracts,D,Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,,127323.00,,,CONT_AWD_80GSFC23CA014_8000_-NONE-_-NONE-,80GSFC23CA014,,,,2022-10-04,2023,2023-09-28,2023,2022-10-04,2024-04-01,,D,DEFINITIVE CONTRACT,,,"ROMAN SPACE TELESCOPE PROJECT IPA VIS EFFORT CONTRACTOR SHALL PROVIDE THE FACILITIES, PERSONNEL, SERVICES, TOOLS, EQUIPMENT, AND MATERIALS NECESSARY TO DESIGN, ANALYZE, MANUFACTURE, TEST, AND DELIVER THE HARDWARE AND DATA IN THE SOW REQUIREMENTS",080,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,80GSFC,NASA GODDARD SPACE FLIGHT CENTER,080,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,80GSFC,NASA GODDARD SPACE FLIGHT CENTER,YHFYUZLGV5G3,,MOOG INC,MOOG INC.,L4ZMKLM4MPL3,L4ZMKLM4MPL3,MOOG INC,MOOG  INC.,USA,CA,SANTA CLARA,MOUNTAIN VIEW,CA-18,CA-16,940431613,UNITED STATES,CALIFORNIA,SANTA CLARA,CA-16,CA-16,940431613,,,1675,SPACE VEHICLE COMPONENTS,336419,OTHER GUIDED MISSILE AND SPACE VEHICLE PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,NONE,NONE,https://www.usaspending.gov/award/CONT_AWD_80GSFC23CA014_8000_-NONE-_-NONE-/,2023-08-28
National Aeronautics and Space Administration,National Aeronautics and Space Administration,FY2023P10,,080,2022,2023,,0120,000,080-2022/2023-0120-000,"Science, National Aeronautics and Space Administration",National Aeronautics and Space Administration,,"General Science, Space, and Technology","Space flight, research, and supporting activities",080-0120,"Science, National Aeronautics and Space Administration",0001,SCIENCE (DIRECT),25.5,Research and development contracts,D,Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,,110413.00,,,CONT_AWD_80GSFC23CA014_8000_-NONE-_-NONE-,80GSFC23CA014,,,,2022-10-04,2023,2023-09-28,2023,2022-10-04,2024-04-01,,D,DEFINITIVE CONTRACT,,,"ROMAN SPACE TELESCOPE PROJECT IPA VIS EFFORT CONTRACTOR SHALL PROVIDE THE FACILITIES, PERSONNEL, SERVICES, TOOLS, EQUIPMENT, AND MATERIALS NECESSARY TO DESIGN, ANALYZE, MANUFACTURE, TEST, AND DELIVER THE HARDWARE AND DATA IN THE SOW REQUIREMENTS",080,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,80GSFC,NASA GODDARD SPACE FLIGHT CENTER,080,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,80GSFC,NASA GODDARD SPACE FLIGHT CENTER,YHFYUZLGV5G3,,MOOG INC,MOOG INC.,L4ZMKLM4MPL3,L4ZMKLM4MPL3,MOOG INC,MOOG  INC.,USA,CA,SANTA CLARA,MOUNTAIN VIEW,CA-18,CA-16,940431613,UNITED STATES,CALIFORNIA,SANTA CLARA,CA-16,CA-16,940431613,,,1675,SPACE VEHICLE COMPONENTS,336419,OTHER GUIDED MISSILE AND SPACE VEHICLE PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,NONE,NONE,https://www.usaspending.gov/award/CONT_AWD_80GSFC23CA014_8000_-NONE-_-NONE-/,2023-08-28
National Aeronautics and Space Administration,National Aeronautics and Space Administration,FY2023P11,,080,2023,2024,,0120,000,080-2023/2024-0120-000,"Science, National Aeronautics and Space Administration",National Aeronautics and Space Administration,,"General Science, Space, and Technology","Space flight, research, and supporting activities",080-0120,"Science, National Aeronautics and Space Administration",0001,SCIENCE (DIRECT),25.5,Research and development contracts,D,Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,,127323.00,,,CONT_AWD_80GSFC23CA014_8000_-NONE-_-NONE-,80GSFC23CA014,,,,2022-10-04,2023,2023-09-28,2023,2022-10-04,2024-04-01,,D,DEFINITIVE CONTRACT,,,"ROMAN SPACE TELESCOPE PROJECT IPA VIS EFFORT CONTRACTOR SHALL PROVIDE THE FACILITIES, PERSONNEL, SERVICES, TOOLS, EQUIPMENT, AND MATERIALS NECESSARY TO DESIGN, ANALYZE, MANUFACTURE, TEST, AND DELIVER THE HARDWARE AND DATA IN THE SOW REQUIREMENTS",080,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,80GSFC,NASA GODDARD SPACE FLIGHT CENTER,080,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,80GSFC,NASA GODDARD SPACE FLIGHT CENTER,YHFYUZLGV5G3,,MOOG INC,MOOG INC.,L4ZMKLM4MPL3,L4ZMKLM4MPL3,MOOG INC,MOOG  INC.,USA,CA,SANTA CLARA,MOUNTAIN VIEW,CA-18,CA-16,940431613,UNITED STATES,CALIFORNIA,SANTA CLARA,CA-16,CA-16,940431613,,,1675,SPACE VEHICLE COMPONENTS,336419,OTHER GUIDED MISSILE AND SPACE VEHICLE PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,NONE,NONE,https://www.usaspending.gov/award/CONT_AWD_80GSFC23CA014_8000_-NONE-_-NONE-/,2023-09-28
National Aeronautics and Space Administration,National Aeronautics and Space Administration,FY2023P11,,080,2022,2023,,0120,000,080-2022/2023-0120-000,"Science, National Aeronautics and Space Administration",National Aeronautics and Space Administration,,"General Science, Space, and Technology","Space flight, research, and supporting activities",080-0120,"Science, National Aeronautics and Space Administration",0001,SCIENCE (DIRECT),25.5,Research and development contracts,D,Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,,220357.00,,,CONT_AWD_80GSFC23CA014_8000_-NONE-_-NONE-,80GSFC23CA014,,,,2022-10-04,2023,2023-09-28,2023,2022-10-04,2024-04-01,,D,DEFINITIVE CONTRACT,,,"ROMAN SPACE TELESCOPE PROJECT IPA VIS EFFORT CONTRACTOR SHALL PROVIDE THE FACILITIES, PERSONNEL, SERVICES, TOOLS, EQUIPMENT, AND MATERIALS NECESSARY TO DESIGN, ANALYZE, MANUFACTURE, TEST, AND DELIVER THE HARDWARE AND DATA IN THE SOW REQUIREMENTS",080,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,80GSFC,NASA GODDARD SPACE FLIGHT CENTER,080,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,80GSFC,NASA GODDARD SPACE FLIGHT CENTER,YHFYUZLGV5G3,,MOOG INC,MOOG INC.,L4ZMKLM4MPL3,L4ZMKLM4MPL3,MOOG INC,MOOG  INC.,USA,CA,SANTA CLARA,MOUNTAIN VIEW,CA-18,CA-16,940431613,UNITED STATES,CALIFORNIA,SANTA CLARA,CA-16,CA-16,940431613,,,1675,SPACE VEHICLE COMPONENTS,336419,OTHER GUIDED MISSILE AND SPACE VEHICLE PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,NONE,NONE,https://www.usaspending.gov/award/CONT_AWD_80GSFC23CA014_8000_-NONE-_-NONE-/,2023-09-28
